code_union,code_union_app,year,ind_union,ind_union_eng,name_union,app_code_name_eng,quantity,sales.m,quantity_t,sales_b,unitval_m,q_indagg,pq_indagg,q_indagg_loo,pq_indagg_loo,p_indagg_loo
1,900,1982,鉄鋼,Steel,Others,900_Others,131,784.738,0.131,0.784738,5.99036641221374,1575,9440.783,1444,8656.045,5.994490997229917
1,900,1983,鉄鋼,Steel,Others,900_Others,161,1061.707,0.161,1.0617070000000002,6.5944534161490695,2123,17570.984,1962,16509.277000000002,8.414514271151887
1,900,1984,鉄鋼,Steel,Others,900_Others,75,517.721,0.075,0.517721,6.902946666666667,2161,17487.057,2086,16969.336,8.134868648130393
1,900,1985,鉄鋼,Steel,Others,900_Others,66,562.554,0.066,0.562554,8.523545454545454,4246,24614.813,4180,24052.259,5.754128947368421
1,900,1986,鉄鋼,Steel,Others,900_Others,67,731,0.067,0.731,10.910447761194028,1946,13877,1879,13146,6.996274614156466
1,900,1987,鉄鋼,Steel,Others,900_Others,20,223,0.02,0.223,11.15,1787,13432,1767,13209,7.475382003395586
1,900,1988,鉄鋼,Steel,Others,900_Others,23,270,0.023,0.27,11.73913043478261,1842,17529,1819,17259,9.488180318856514
1,900,1989,鉄鋼,Steel,Others,900_Others,4,102,0.004,0.102,25.499999999999996,1298,16646,1294,16544,12.78516228748068
1,900,1990,鉄鋼,Steel,Others,900_Others,13,281,0.013,0.281,21.615384615384617,1580,16159,1567,15878,10.132737715379706
1,900,1991,鉄鋼,Steel,Others,900_Others,22,432,0.022,0.432,19.636363636363637,1441,18559,1419,18127,12.774489076814659
1,900,1992,鉄鋼,Steel,Others,900_Others,20,480,0.02,0.48,24,667,6654,647,6174,9.542503863987635
1,900,1993,鉄鋼,Steel,Others,900_Others,17,249,0.017,0.249,14.647058823529411,1726,8457,1709,8208,4.802808660035108
1,900,1994,鉄鋼,Steel,Others,900_Others,12,493,0.012,0.493,41.08333333333333,585,4790,573,4297,7.49912739965096
1,900,1995,鉄鋼,Steel,Others,900_Others,15,420,0.015,0.42,28,1230,5228,1215,4808,3.957201646090535
1,900,1996,鉄鋼,Steel,Others,900_Others,12,277,0.012,0.277,23.083333333333336,2414,10511,2402,10234,4.260616153205662
1,900,1997,鉄鋼,Steel,Others,900_Others,9,143,0.009,0.143,15.88888888888889,1175,8321,1166,8178,7.013722126929674
1,900,1998,鉄鋼,Steel,Others,900_Others,4,90,0.004,0.09,22.5,1880,14041,1876,13951,7.436567164179104
1,900,1999,鉄鋼,Steel,Others,900_Others,5,80,0.005,0.08,16,3976,20223,3971,20143,5.072525812138
1,900,2000,鉄鋼,Steel,Others,900_Others,1,14,0.001,0.014,14,7541,51844,7540,51830,6.874005305039788
1,900,2001,鉄鋼,Steel,Others,900_Others,1,5,0.001,0.005,5,6109,53333,6108,53328,8.730844793713164
1,900,2002,鉄鋼,Steel,Others,900_Others,0,0,0,0,NaN,4683,44538,4683,44538,9.510570147341447
1,900,2003,鉄鋼,Steel,Others,900_Others,0,0,0,0,NaN,11405,63006,11405,63006,5.524419114423498
1,900,2004,鉄鋼,Steel,Others,900_Others,1,5,0.001,0.005,5,16820,94702,16819,94697,5.630358523098876
1,900,2005,鉄鋼,Steel,Others,900_Others,0,35,0,0.035,Inf,13520,113736,13520,113701,8.409837278106508
1,900,2006,鉄鋼,Steel,Others,900_Others,0,10,0,0.01,Inf,14284,109612,14284,109602,7.673060767292075
1,900,2007,鉄鋼,Steel,Others,900_Others,0,1,0,0.001,Inf,11624,85551,11624,85550,7.35977288368892
1,900,2008,鉄鋼,Steel,Others,900_Others,0,0,0,0,NaN,10474,100193,10474,100193,9.565877410731336
1,900,2009,鉄鋼,Steel,Others,900_Others,0,0,0,0,NaN,4460,58232,4460,58232,13.056502242152467
1,900,2010,鉄鋼,Steel,Others,900_Others,2,6,0.002,0.006,3,12845,94697,12843,94691,7.372965817955307
1,900,2011,鉄鋼,Steel,Others,900_Others,2,11,0.002,0.011,5.5,13028,82978,13026,82967,6.369338246583755
1,900,2012,鉄鋼,Steel,Others,900_Others,3,21,0.003,0.021,7,10416,80312,10413,80291,7.710650148852396
1,900,2013,鉄鋼,Steel,Others,900_Others,1,12,0.001,0.012,12,12885,92982,12884,92970,7.215926730828935
1,900,2014,鉄鋼,Steel,Others,900_Others,5,35,0.005,0.035,7.000000000000001,11514,80620,11509,80585,7.0019115474845774
1,900,2015,鉄鋼,Steel,Others,900_Others,6,53,0.006,0.053,8.833333333333332,19528,126924,19522,126871,6.498873066284192
1,900,2016,鉄鋼,Steel,Others,900_Others,1,7,0.001,0.007,7,23815,135797,23814,135790,5.702108003695305
1,900,2017,鉄鋼,Steel,Others,900_Others,0,4,0,0.004,Inf,34635,192687,34635,192683,5.563245272123575
1,NA,1978,鉄鋼,Steel,NA,TOTAL,63,855.75,0.063,0.85575,13.583333333333334,9081,26139.353000000003,9018,25283.603000000003,2.803681858505212
1,NA,1979,鉄鋼,Steel,NA,TOTAL,58,1614.103,0.058,1.614103,27.829362068965516,13718,37042.43,13660,35428.327,2.5935817715959004
1,NA,1980,鉄鋼,Steel,NA,TOTAL,136,936.694,0.136,0.9366939999999999,6.88745588235294,19334,75653.09599999999,19198,74716.40199999999,3.891884675487029
1,NA,1981,鉄鋼,Steel,NA,TOTAL,158,1747.411,0.158,1.747411,11.059563291139241,21464,103745.713,21306,101998.302,4.787304139678963
1,NA,1982,鉄鋼,Steel,NA,TOTAL,221,1984.4930000000002,0.221,1.984493,8.979606334841629,23894,142449.37,23673,140464.877,5.933547797068391
1,NA,1983,鉄鋼,Steel,NA,TOTAL,265,2942.7290000000003,0.265,2.9427290000000004,11.104637735849057,30032,182065.676,29767,179122.94700000001,6.017500823059093
1,NA,1984,鉄鋼,Steel,NA,TOTAL,169,1272.176,0.169,1.272176,7.527668639053254,39606,252251.302,39437,250979.126,6.364052184496792
1,NA,1985,鉄鋼,Steel,NA,TOTAL,144,1879.804,0.144,1.879804,13.054194444444446,47357,288690.733,47213,286810.929,6.074829580835787
1,NA,1986,鉄鋼,Steel,NA,TOTAL,293,2679,0.293,2.679,9.143344709897612,42153,265852,41860,263173,6.286980410893454
1,NA,1987,鉄鋼,Steel,NA,TOTAL,288,2919,0.288,2.919,10.135416666666668,44298,293712,44010,290793,6.607430129516019
1,NA,1988,鉄鋼,Steel,NA,TOTAL,137,2354,0.137,2.354,17.182481751824817,57402,373921,57265,371567,6.488553217497599
1,NA,1989,鉄鋼,Steel,NA,TOTAL,287,3286,0.287,3.286,11.449477351916377,69880,459101,69593,455815,6.54972482864656
1,NA,1990,鉄鋼,Steel,NA,TOTAL,177,3073,0.177,3.073,17.361581920903955,79842,547528,79665,544455,6.834306157032574
1,NA,1991,鉄鋼,Steel,NA,TOTAL,216,3530,0.216,3.53,16.34259259259259,78432,587960,78216,584430,7.4720006136851795
1,NA,1992,鉄鋼,Steel,NA,TOTAL,245,3404,0.245,3.404,13.893877551020408,55829,421990,55584,418586,7.530692285549798
1,NA,1993,鉄鋼,Steel,NA,TOTAL,172,2036,0.172,2.036,11.837209302325583,54889,387448,54717,385412,7.043734122850302
1,NA,1994,鉄鋼,Steel,NA,TOTAL,185,2224,0.185,2.224,12.021621621621623,54102,398130,53917,395906,7.342878869373296
1,NA,1995,鉄鋼,Steel,NA,TOTAL,137,2187,0.137,2.187,15.963503649635035,68427,473192,68290,471005,6.89712988724557
1,NA,1996,鉄鋼,Steel,NA,TOTAL,106,1448,0.106,1.448,13.660377358490566,70259,475856,70153,474408,6.762476301797499
1,NA,1997,鉄鋼,Steel,NA,TOTAL,129,1464,0.129,1.464,11.348837209302324,79305,563728,79176,562264,7.101444882287562
1,NA,1998,鉄鋼,Steel,NA,TOTAL,57,1094,0.057,1.094,19.192982456140353,62643,477527,62586,476433,7.612453264308312
1,NA,1999,鉄鋼,Steel,NA,TOTAL,53,595,0.053,0.595,11.226415094339622,70857,514188,70804,513593,7.253728602903791
1,NA,2000,鉄鋼,Steel,NA,TOTAL,55,616,0.055,0.616,11.2,90110,636976,90055,636360,7.066348342679474
1,NA,2001,鉄鋼,Steel,NA,TOTAL,56,713,0.056,0.713,12.732142857142856,58467,395727,58411,395014,6.762664566605605
1,NA,2002,鉄鋼,Steel,NA,TOTAL,52,517,0.052,0.517,9.942307692307693,61713,380060,61661,379543,6.155316975073385
1,NA,2003,鉄鋼,Steel,NA,TOTAL,49,2276,0.049,2.276,46.44897959183673,83569,493094,83520,490818,5.8766522988505745
1,NA,2004,鉄鋼,Steel,NA,TOTAL,51,1163,0.051,1.163,22.80392156862745,98056,574976,98005,573813,5.854935972654457
1,NA,2005,鉄鋼,Steel,NA,TOTAL,35,1665,0.035,1.665,47.57142857142857,108811,674154,108776,672489,6.182328822534383
1,NA,2006,鉄鋼,Steel,NA,TOTAL,27,110,0.027,0.11,4.074074074074074,105648,730649,105621,730539,6.916607492828131
1,NA,2007,鉄鋼,Steel,NA,TOTAL,90,2592,0.09,2.592,28.8,107164,721816,107074,719224,6.7170741730018495
1,NA,2008,鉄鋼,Steel,NA,TOTAL,48,1884,0.048,1.884,39.25,97947,647276,97899,645392,6.592426888936557
1,NA,2009,鉄鋼,Steel,NA,TOTAL,35,463,0.035,0.463,13.228571428571428,42067,298087,42032,297624,7.080890749904834
1,NA,2010,鉄鋼,Steel,NA,TOTAL,51,433,0.051,0.433,8.490196078431373,92077,551736,92026,551303,5.9907308804033645
1,NA,2011,鉄鋼,Steel,NA,TOTAL,43,393,0.043,0.393,9.13953488372093,119055,596661,119012,596268,5.010150236950896
1,NA,2012,鉄鋼,Steel,NA,TOTAL,115,863,0.115,0.863,7.504347826086956,113818,539146,113703,538283,4.73411431536547
1,NA,2013,鉄鋼,Steel,NA,TOTAL,66,369,0.066,0.369,5.590909090909091,110889,503702,110823,503333,4.541773819514
1,NA,2014,鉄鋼,Steel,NA,TOTAL,54,253,0.054,0.253,4.685185185185185,137334,590075,137280,589822,4.2964889277389275
1,NA,2015,鉄鋼,Steel,NA,TOTAL,105,389,0.105,0.389,3.704761904761905,155366,680543,155261,680154,4.380713765852339
1,NA,2016,鉄鋼,Steel,NA,TOTAL,116,408,0.116,0.408,3.5172413793103443,175394,712492,175278,712084,4.062597701936353
1,NA,2017,鉄鋼,Steel,NA,TOTAL,46,192,0.046,0.192,4.173913043478261,233102,891628,233056,891436,3.8249862693944805
11,110,1978,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,0,0,0,0,NaN,6255,11199.604000000001,6255,11199.604000000001,1.7905042366107116
