code_union_app,code_union_ess,alpha
110,0,0.10520910584984271
160,0,0.3142281349798948
170,0,0.02550525397212274
190,0,0.10094443905154249
200,0,0.32011674981586496
900,0,0.13399631633073228
110,1,0.588636246154803
160,1,0.03334056646182764
190,1,0.09072430419428527
200,1,0.009702385013219253
900,1,0.27759649817586474
110,2,0.9184117667392956
170,2,0.003209560003067912
190,2,0.006261403396956502
200,2,0.005263251705985994
900,2,0.06685401815469406
110,3,0.23131912229132556
160,3,0.3284250510844978
170,3,0.12061890231410426
190,3,0.22638336176896162
200,3,4.374112406698716e-4
900,3,0.09281615130044098
110,4,0.16640545145300592
160,4,0.3150608491614112
170,4,0.017330880468984438
190,4,0.4120143235872693
200,4,0.02296163151011417
900,4,0.066226863819215
110,5,0.09429798756509883
160,5,0.02994492273415422
170,5,0.016672660731321478
190,5,0.05967982825121576
200,5,0.7626708352346246
900,5,0.0367337654835851
110,6,0.16760892697630886
170,6,0.07029548989113531
190,6,0.2752942265054753
200,6,0.22235189027406574
900,6,0.26444946635301486
110,7,0.23506221046588696
160,7,0.4638256160861042
170,7,0.04579178896549357
190,7,0.15924227718714534
200,7,0.07088341092237316
900,7,0.025194696372996758
110,8,0.32141402714932127
900,8,0.6785859728506787
110,11,0.618815738215816
900,11,0.38118426178418385
110,12,0.15672256480548022
160,12,0.0261797920754609
170,12,0.008268641811977447
200,12,0.0402040446379448
900,12,0.7686249566691367
110,16,0.0704698916923215
160,16,0.015650079073276535
170,16,0.035392738471847734
190,16,0.024538965340481094
200,16,0.0912855409455642
900,16,0.7626627844765089
110,17,0.7595031506483463
160,17,0.016692721714604567
170,17,0.09006894461016088
190,17,0.005020411877937104
200,17,0.004196575066013688
900,17,0.12451819608293743
110,27,0.5276567759078831
160,27,0.020217006200177145
170,27,0.02134632418069088
190,27,0.007798937112488928
200,27,0.021939769707705933
900,27,0.401041186891054
