Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,18002,,11299888,,397394687,,,4
H2,2003,2003,2003,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,727,,529838,,22973193,,,4
H2,2003,2003,2003,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,21558,,13388896,,523846727,,,4
H2,2004,2004,2004,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,768,,407980,,20207569,,,4
H2,2004,2004,2004,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,30157,,17000112,,779753260,,,4
H2,2005,2005,2005,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,793,,645210,,22350071,,,6
H2,2005,2005,2005,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,36046,,24939677,,899324736,,,6
H2,2006,2006,2006,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,768,,343319,,17004882,,,4
H2,2006,2006,2006,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, n.e.s. in Ch.84",5,Number of items,,,37465,,18700231,,857733527,,,4
H1,1996,1996,1996,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,330,,0,,21417568,,,0
