code_union,ind_union_eng,code_union_app,app_code_name_eng,year_5,quantity_sum,sales.m_sum,quantity_t_sum,sales_b_sum,q_indagg_sum,pq_indagg_sum,q_indagg_loo_sum,pq_indagg_loo_sum,quantity_mean,sales.m_mean,quantity_t_mean,sales_b_mean,q_indagg_mean,pq_indagg_mean,q_indagg_loo_mean,pq_indagg_loo_mean,unitval_m,p_indagg_loo
1,Steel,190,190_Processing,1987,90,1047.49,0.09,1.04749,20257,97959.012,20167,96911.522,18,209.498,0.018,0.209498,4051.4,19591.8024,4033.4,19382.3044,11.638777777777777,4.805450587593594
1,Steel,190,190_Processing,1992,160,2548,0.16,2.548,30862,216507,30702,213959,32,509.6,0.032,0.5095999999999999,6172.4,43301.4,6140.4,42791.8,15.925,6.968894534558009
1,Steel,190,190_Processing,1997,72,1488,0.072,1.488,22040,123125,21968,121637,14.4,297.6,0.0144,0.2976,4408,24625,4393.6,24327.4,20.666666666666668,5.537008375819374
1,Steel,190,190_Processing,2002,70,1024,0.07,1.024,20765,105447,20695,104423,14,204.8,0.014,0.2048,4153,21089.4,4139,20884.6,14.628571428571428,5.0458081662237255
1,Steel,190,190_Processing,2007,31,332,0.031,0.332,25807,133575,25776,133243,6.2,66.4,0.0062,0.0664,5161.4,26715,5155.2,26648.6,10.709677419354838,5.169265983860956
1,Steel,190,190_Processing,2012,57,1180,0.057,1.18,20350,79065,20293,77885,11.4,236,0.0114,0.236,4070,15813,4058.6,15577,20.70175438596491,3.8380229635835015
1,Steel,190,190_Processing,2017,66,392,0.066,0.392,41741,109239,41675,108847,13.2,78.4,0.0132,0.0784,8348.2,21847.8,8335,21769.4,5.9393939393939394,2.6118056388722257
1,Steel,200,200_Assembling and disassembling,1982,22,69.25999999999999,0.022,0.06926,13953,109833.246,13931,109763.986,4.4,13.851999999999999,0.0044,0.013852,2790.6,21966.6492,2786.2,21952.7972,3.148181818181818,7.879117507716604
1,Steel,200,200_Assembling and disassembling,1987,140,260.4,0.14,0.26039999999999996,68253,603480.808,68113,603220.408,28,52.08,0.028,0.05208,13650.6,120696.16159999999,13622.6,120644.0816,1.8599999999999999,8.856171479746893
1,Steel,200,200_Assembling and disassembling,1992,17,133,0.017,0.133,122497,1128511,122480,1128378,3.4,26.6,0.0034000000000000002,0.0266,24499.4,225702.2,24496,225675.6,7.823529411764706,9.212753102547355
1,Steel,200,200_Assembling and disassembling,1997,12,111,0.012,0.111,127651,1337837,127639,1337726,2.4,22.2,0.0024000000000000002,0.0222,25530.2,267567.4,25527.8,267545.2,9.25,10.480542780811508
1,Steel,200,200_Assembling and disassembling,2002,1,18,0.001,0.018,108555,1333219,108554,1333201,0.2,3.6,2e-4,0.0036,21711,266643.8,21710.8,266640.2,18,12.281454391362825
1,Steel,200,200_Assembling and disassembling,2007,7,19,0.007,0.019,135949,1585492,135942,1585473,1.4,3.8,0.0014,0.0038,27189.8,317098.4,27188.4,317094.6,2.7142857142857144,11.662863574171338
1,Steel,200,200_Assembling and disassembling,2012,9,65,0.009000000000000001,0.065,132376,1250393,132367,1250328,1.8,13,0.0018,0.013,26475.2,250078.6,26473.4,250065.6,7.222222222222222,9.445919300127676
1,Steel,200,200_Assembling and disassembling,2017,12,63,0.012,0.063,209093,1256977,209081,1256914,2.4,12.6,0.0024,0.0126,41818.6,251395.4,41816.2,251382.8,5.25,6.011612724255193
1,Steel,900,900_Others,1982,375,1981.609,0.375,1.981609,6092,28067.404,5717,26085.795,75,396.3218,0.075,0.3963218,1218.4,5613.480799999999,1143.4,5217.159,5.284290666666666,4.562846772782928
1,Steel,900,900_Others,1987,389,3095.982,0.389,3.0959820000000002,12263,86981.85399999999,11874,83885.872,77.8,619.1964,0.07780000000000001,0.6191964,2452.6,17396.3708,2374.8,16777.1744,7.958822622107969,7.064668351019034
1,Steel,900,900_Others,1992,82,1565,0.082,1.565,6828,75547,6746,73982,16.4,313,0.016399999999999998,0.313,1365.6,15109.4,1349.2,14796.4,19.085365853658537,10.966795137859473
1,Steel,900,900_Others,1997,65,1582,0.065,1.582,7130,37307,7065,35725,13,316.4,0.013,0.3164,1426,7461.4,1413,7145,24.338461538461537,5.056617126680821
1,Steel,900,900_Others,2002,11,189,0.011,0.189,24189,183979,24178,183790,2.2,37.8,0.0022,0.0378,4837.8,36795.8,4835.6,36758,17.181818181818183,7.601538588799735
1,Steel,900,900_Others,2007,1,51,0.001,0.051000000000000004,67653,466607,67652,466556,0.2,10.2,2e-4,0.0102,13530.6,93321.4,13530.4,93311.2,51,6.8964110447584694
1,Steel,900,900_Others,2012,7,38,0.007,0.038,51223,416412,51216,416374,1.4,7.6,0.0014,0.0076,10244.6,83282.4,10243.2,83274.8,5.428571428571429,8.129764136207434
1,Steel,900,900_Others,2017,13,111,0.013000000000000001,0.111,102377,629010,102364,628899,2.6,22.2,0.0026,0.0222,20475.4,125802,20472.8,125779.8,8.538461538461538,6.143751709585401
1,Steel,NA,TOTAL,1982,636,7138.451,0.636,7.138451,87491,385029.962,86855,377891.511,127.2,1427.6902,0.1272,1.4276902,17498.2,77005.9924,17371,75578.3022,11.223979559748427,4.350831972828277
1,Steel,NA,TOTAL,1987,1159,11692.709,1.159,11.692709,203446,1282571.7110000001,202287,1270879.002,231.8,2338.5418,0.2318,2.3385418000000002,40689.2,256514.3422,40457.4,254175.8004,10.088618636755825,6.282554004953359
1,Steel,NA,TOTAL,1992,1062,15647,1.062,15.647,341385,2390500,340323,2374853,212.4,3129.4,0.2124,3.1294,68277,478100,68064.6,474970.6,14.73352165725047,6.978232443884193
1,Steel,NA,TOTAL,1997,729,9359,0.729,9.359,326982,2298354,326253,2288995,145.8,1871.8,0.14579999999999999,1.8718,65396.4,459670.8,65250.6,457799,12.838134430727024,7.016012113298575
1,Steel,NA,TOTAL,2002,273,3535,0.273,3.535,343790,2404478,343517,2400943,54.6,707,0.0546,0.707,68758,480895.6,68703.4,480188.6,12.948717948717949,6.989298928437312
1,Steel,NA,TOTAL,2007,252,7806,0.252,7.806,503248,3194689,502996,3186883,50.4,1561.2,0.0504,1.5612,100649.6,638937.8,100599.2,637376.6,30.976190476190474,6.335801875164017
1,Steel,NA,TOTAL,2012,292,4036,0.292,4.036,464964,2632906,464672,2628870,58.4,807.2,0.0584,0.8072,92992.8,526581.2,92934.4,525774,13.821917808219178,5.65747451966118
1,Steel,NA,TOTAL,2017,387,1611,0.387,1.611,812085,3378440,811698,3376829,77.4,322.2,0.0774,0.3222,162417,675688,162339.6,675365.8,4.162790697674419,4.160203671808973
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,1982,36,158.85,0.036,0.15885,43909,98180.761,43873,98021.91100000001,7.2,31.77,0.0072,0.03177,8781.8,19636.1522,8774.6,19604.3822,4.4125,2.2342194743919954
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,1987,142,1357.17,0.142,1.35717,68202,210002.384,68060,208645.214,28.4,271.43399999999997,0.028399999999999998,0.271434,13640.4,42000.4768,13612,41729.042799999996,9.557535211267606,3.0656070232148105
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,1992,708,7513,0.708,7.513,109636,449058,108928,441545,141.6,1502.6,0.1416,1.5026,21927.2,89811.6,21785.6,88309,10.611581920903955,4.053549133372503
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,1997,570,7502,0.57,7.502000000000001,100915,432727,100345,425225,114,1500.4,0.11399999999999999,1.5004,20183,86545.4,20069,85045,13.16140350877193,4.237630175893169
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,2002,612,9120,0.612,9.120000000000001,102644,398857,102032,389737,122.4,1824,0.12240000000000001,1.824,20528.8,79771.4,20406.4,77947.4,14.901960784313726,3.8197526266269404
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,2007,678,8551,0.678,8.551,137477,427194,136799,418643,135.6,1710.2,0.1356,1.7102,27495.4,85438.8,27359.8,83728.6,12.612094395280236,3.0602782184080293
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,2012,487,8888,0.487,8.888,124647,395106,124160,386218,97.4,1777.6,0.0974,1.7776,24929.4,79021.2,24832,77243.6,18.250513347022586,3.110647551546392
11,"Pulp, paper, printing, publishing",110,110_Handling operations/Machine tending,2017,655,13134,0.655,13.134,242464,675066,241809,661932,131,2626.8,0.131,2.6268000000000002,48492.8,135013.2,48361.8,132386.4,20.051908396946565,2.7374167214619805
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,1982,0,0,0,0,9067,85204.415,9067,85204.415,0,0,0,0,1813.4,17040.883,1813.4,17040.883,NaN,9.397200286754163
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,1987,0,0,0,0,31846,244986.721,31846,244986.721,0,0,0,0,6369.2,48997.3442,6369.2,48997.3442,NaN,7.692856905105821
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,1992,3,15,0.003,0.015,67484,478833,67481,478818,0.6,3,6.000000000000001e-4,0.003,13496.8,95766.6,13496.2,95763.6,5,7.095597279234155
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,1997,0,1,0,0.001,66250,337320,66250,337319,0,0.2,0,2e-4,13250,67464,13250,67463.8,Inf,5.0916075471698115
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,2002,1,12,0.001,0.012,84362,355993,84361,355981,0.2,2.4,2e-4,0.0024000000000000002,16872.4,71198.6,16872.2,71196.2,12,4.219734237384573
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,2007,0,0,0,0,128168,497429,128168,497429,0,0,0,0,25633.6,99485.8,25633.6,99485.8,NaN,3.881070157917733
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,2012,0,0,0,0,129717,420627,129717,420627,0,0,0,0,25943.4,84125.4,25943.4,84125.4,NaN,3.2426513101598093
11,"Pulp, paper, printing, publishing",160,160_Welding and soldering,2017,2,8,0.002,0.008,205948,611388,205946,611380,0.4,1.6,4e-4,0.0016,41189.6,122277.6,41189.2,122276,4,2.9686422654482243
11,"Pulp, paper, printing, publishing",170,170_Dispensing,1982,0,0,0,0,1185,15728.937,1185,15728.937,0,0,0,0,237,3145.7874,237,3145.7874,NaN,13.273364556962026
11,"Pulp, paper, printing, publishing",170,170_Dispensing,1987,0,0,0,0,2625,39160.932,2625,39160.932,0,0,0,0,525,7832.1864,525,7832.1864,NaN,14.918450285714286
11,"Pulp, paper, printing, publishing",170,170_Dispensing,1992,9,45,0.009,0.045,4078,42044,4069,41999,1.8,9,0.0018,0.009,815.6,8408.8,813.8,8399.8,5,10.321700663553699
11,"Pulp, paper, printing, publishing",170,170_Dispensing,1997,2,19,0.002,0.019,2996,30038,2994,30019,0.4,3.8,4e-4,0.0038,599.2,6007.6,598.8,6003.8,9.5,10.026386105544422
11,"Pulp, paper, printing, publishing",170,170_Dispensing,2002,4,21,0.004,0.020999999999999998,3275,26983,3271,26962,0.8,4.2,8e-4,0.0042,655,5396.6,654.2,5392.4,5.25,8.242739223479058
11,"Pulp, paper, printing, publishing",170,170_Dispensing,2007,0,0,0,0,8194,84392,8194,84392,0,0,0,0,1638.8,16878.4,1638.8,16878.4,NaN,10.2992433487918
11,"Pulp, paper, printing, publishing",170,170_Dispensing,2012,1,3,0.001,0.003,6651,71303,6650,71300,0.2,0.6,2e-4,6.000000000000001e-4,1330.2,14260.6,1330,14260,3,10.721804511278195
11,"Pulp, paper, printing, publishing",170,170_Dispensing,2017,1,4,0.001,0.004,10462,96760,10461,96756,0.2,0.8,2e-4,8e-4,2092.4,19352,2092.2,19351.2,4,9.249211356466876
11,"Pulp, paper, printing, publishing",190,190_Processing,1982,0,0,0,0,13285,48015.199,13285,48015.199,0,0,0,0,2657,9603.0398,2657,9603.0398,NaN,3.614241550621001
11,"Pulp, paper, printing, publishing",190,190_Processing,1987,1,17,0.001,0.017,20257,97959.012,20256,97942.012,0.2,3.4,2e-4,0.0034000000000000002,4051.4,19591.8024,4051.2,19588.4024,17,4.835209913112164
11,"Pulp, paper, printing, publishing",190,190_Processing,1992,0,0,0,0,30862,216507,30862,216507,0,0,0,0,6172.4,43301.4,6172.4,43301.4,NaN,7.015326291231935
