code_union_ess,code_union_app,year,quantity_indtot_stock_10,quantity_indtot_stock_12,quantity_indtot_stock_15,quantity_indtot_stock_abr,quantity_indtot_stock_nm,quantity_indtot_value_5_avg,quantity_indtot_value_5_sum,quantity_stock_10,quantity_stock_12,quantity_stock_15,quantity_stock_abr,quantity_stock_nm,quantity_value_5_avg,quantity_value_5_sum,sales.m_indtot_stock_10,sales.m_indtot_stock_12,sales.m_indtot_stock_15,sales.m_indtot_stock_abr,sales.m_indtot_stock_nm,sales.m_indtot_value_5_avg,sales.m_indtot_value_5_sum,sales.m_stock_10,sales.m_stock_12,sales.m_stock_15,sales.m_stock_abr,sales.m_stock_nm,sales.m_value_5_avg,sales.m_value_5_sum,unitval_t_apploo_stock_10,unitval_t_apploo_stock_12,unitval_t_apploo_stock_15,unitval_t_apploo_stock_abr,unitval_t_apploo_stock_nm,unitval_t_apploo_value_5_avg,unitval_t_apploo_value_5_sum,unitval_t_exp_stock_10,unitval_t_exp_stock_12,unitval_t_exp_stock_15,unitval_t_exp_stock_abr,unitval_t_exp_stock_nm,unitval_t_exp_value_5_avg,unitval_t_exp_value_5_sum,unitval_t_indagg_stock_10,unitval_t_indagg_stock_12,unitval_t_indagg_stock_15,unitval_t_indagg_stock_abr,unitval_t_indagg_stock_nm,unitval_t_indagg_value_5_avg,unitval_t_indagg_value_5_sum,unitval_t_indloo_stock_10,unitval_t_indloo_stock_12,unitval_t_indloo_stock_15,unitval_t_indloo_stock_abr,unitval_t_indloo_stock_nm,unitval_t_indloo_value_5_avg,unitval_t_indloo_value_5_sum,unitval_t_stock_10,unitval_t_stock_12,unitval_t_stock_15,unitval_t_stock_abr,unitval_t_stock_nm,unitval_t_value_5_avg,unitval_t_value_5_sum,uc_t_abr,uc_t_nm,ai,it,at,lhs_ols,lhs_iv,lambda,unitval_t_indagg_stock_12_ea,quantity_stock_12_ea,name_ind,name_ind_short,name_app,name_app_short,order
0,110,1982,43971,43971,43971,36546.2666,31544.711050560003,8794.2,43971,850,850,850,759.7858,693.41307808,170,850,99372.21,99372.21,99372.21,84837.1790819,74941.17612560304,19874.442,99372.21,3150.6730000000002,3150.6730000000002,3150.6730000000002,3040.73642,2963.422605472,630.1346,3150.6730000000002,6.577323342623474,6.577323342623474,6.577323342623474,6.708924276291266,6.817635141879379,6.577323342623475,6.577323342623474,2.2314310196887828,2.2314310196887828,2.2314310196887828,2.2856799783984343,2.333054304047003,2.2314310196887828,2.2314310196887828,2.259948829910623,2.259948829910623,2.259948829910623,2.321363766385374,2.3757128732448045,2.2599488299106225,2.259948829910623,2.2314310196887828,2.2314310196887828,2.2314310196887828,2.2856799783984343,2.333054304047003,2.2314310196887823,2.2314310196887828,3.7066741176470592,3.7066741176470592,3.7066741176470592,4.002096933109305,4.27367567637671,3.706674117647059,3.7066741176470592,NA,NA,1,1,1,7.126660697142127,7.723646955158844,0.5518239194757965,4.095416581538283,469.050331554427,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,1987,112269,112269,112269,78042.350564634,60252.49783923393,13659.599999999999,68298,9562,9562,9562,7992.735217042001,6998.976600320209,1742.4,8712,310486.317,310486.317,310486.317,225979.16449417116,179984.72532485545,42222.8214,211114.107,26407.754,26407.754,26407.754,21788.2774352458,18867.177010255386,4651.4162,23257.081,7.590569386903934,7.590569386903934,7.590569386903934,7.720913688996589,7.804196017493678,7.916578253743082,7.91657825374308,2.7659123818240237,2.7659123818240237,2.7659123818240237,2.914946585298338,3.0254815938230823,3.152704091565133,3.1527040915651328,2.765556983673142,2.765556983673142,2.765556983673142,2.8955965941468813,2.987174503621273,3.0910730475270145,3.0910730475270136,2.765912381824023,2.765912381824023,2.765912381824023,2.914946585298338,3.025481593823083,3.152704091565133,3.1527040915651323,2.761739594227149,2.761739594227149,2.761739594227149,2.7260101634280507,2.6957051134293257,2.6695455693296597,2.66954556932966,0.7339776847758985,0.9812635285780595,1,2,2,9.64142710528575,10.386242655711186,1.0390745683362743,2.6615577629825395,9935.631022431455,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,1992,178213,197186,222184,136225.96038491075,99241.40046980594,21983,109915,28508,28992,29358,21137.45821831113,16749.140760963186,3959.2,19796,674119.107,725614.615,773491.317,520595.00814216316,402517.82463301206,92601,463005,76734.081,79511.204,79884.754,57934.228842738295,46377.189345448736,10695.4,53477,8.211475864228525,8.156041204672972,8.038781661918787,8.218103213199997,8.332386641024591,8.382644680987223,8.382644680987223,3.9904146554891287,3.841417714068278,3.59705933328493,4.020043449950258,4.31726123813998,4.544302533317059,4.544302533317059,3.782659553455696,3.679848544014281,3.481309711770425,3.8215550594850316,4.05594663847451,4.212391393349407,4.212391393349407,3.990414655489128,3.841417714068278,3.597059333284931,4.020043449950258,4.317261238139981,4.544302533317059,4.544302533317058,2.6916683387119407,2.7425222130242823,2.7210557258668846,2.7408323292414862,2.7689294637453234,2.70140432410588,2.70140432410588,1.0023608722700195,1.3393521837379718,1,3,3,10.88427017374075,11.83822112262194,1.4762005145551351,2.492783675206368,42798.005317982475,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,1997,211817,240308,280115,165513.39024768595,110628.45641536429,20380.4,101902,51749,56562,60461,39373.08830333054,29702.468402814226,6390.6,31953,911370,1004394,1122484.107,678403.667457866,469007.7102570081,89673,448365,155887,168932,179144.081,121003.19448934855,93497.53148950839,20482,102410,8.320857649245667,8.290630402212747,8.22898925859054,8.23907103295383,8.280638939515514,8.257411342080479,8.257411342080477,4.719762850788415,4.546830951422072,4.2946635435730744,4.418892807267933,4.640167985459323,4.945817667157501,4.945817667157501,4.302629156300013,4.179611165670723,4.00722598575585,4.0987841916756995,4.239485259525608,4.3999627092696905,4.3999627092696905,4.719762850788415,4.546830951422072,4.2946635435730744,4.418892807267934,4.640167985459322,4.9458176671575,4.945817667157501,3.0123673887418114,2.986669495420954,2.96296920328807,3.0732462121624575,3.1478034155790824,3.205019872938378,3.205019872938378,1.2319258528766575,1.5839228696182328,1,4,4,11.612161513645699,12.659354524195788,1.6985922365247343,2.4606324436181777,96075.77408231203,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,2002,205307,249472,315222,181492.6718073561,111741.49134649022,20681,103405,79322,87715,99118,61985.56101223366,43983.30645287231,9473.8,47369,854966,1068506,1317971,729349.1975971954,451188.2714818743,81320.2,406601,246756,272039,300233,188494.16751401543,133547.85946512743,28869.2,144346,8.294033904058727,8.388944950379658,8.323464522299762,8.232031572530053,8.183638444254736,8.328426552568242,8.328426552568244,4.827638210898123,4.923848736067064,4.709482471402658,4.525714214699719,4.687853024921646,4.680116353772574,4.680116353772575,4.164329516285368,4.283069843509492,4.1810882489166366,4.01861513379095,4.037786376797324,3.932121270731589,3.9321212707315896,4.827638210898122,4.923848736067064,4.709482471402658,4.52571421469972,4.687853024921646,4.680116353772575,4.680116353772575,3.110814149920577,3.101396568431853,3.0290461873726264,3.0409367026106877,3.0363306043901606,3.047267200067555,3.0472672000675547,1.2204051164158607,1.5349748180743878,1,5,5,12.062355818198126,13.127452208139703,1.4219946645098762,3.0120154107510326,124730.26199748379,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,2007,241327,287097,343229,220912.1077755257,139069.68685273197,27584.4,137922,126494,141522,158447,101828.67412211387,72287.26512367545,15825,79125,837840,1032782,1286205,786301.0227891679,472622.5040870292,86247.8,431239,347895,400039,450305,278814.486575351,193124.396941157,40709.8,203549,7.864397893750389,7.9068361968936545,7.971370279703185,7.8930090175182555,7.818060639751874,7.557329115268073,7.557329115268072,4.266587130877013,4.346508672505581,4.52370901927677,4.261604831540537,4.185204727672592,3.8724764868955903,3.87247648689559,3.471803818055999,3.597327732438862,3.747366918296531,3.559338737504365,3.398458102429708,3.126687548034396,3.126687548034396,4.266587130877013,4.346508672505581,4.52370901927677,4.261604831540537,4.185204727672592,3.8724764868955894,3.87247648689559,2.7502885512356317,2.826691256483091,2.841991328330609,2.7380744076171917,2.6716240628379384,2.5724992101105846,2.5724992101105846,1.0519075537009783,1.30204255754373,1,6,6,12.459095368990932,13.396439988946504,1.0062452254562455,3.5750010449071037,142405.83679701877,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,2012,263314,296848,366719,235235.6129203702,142694.87351749497,25078.399999999998,125392,165139,181406,212508,132524.49218236702,90101.61283554828,17202.8,86014,830564,973207,1237165,794788.5778467759,460345.99526425666,79865,399325,423572,471752,567918,348282.55597787903,231137.27587493917,44004.6,220023,7.0853786714860325,7.112716157095602,7.402796804612385,7.197807953373785,6.818439010216848,6.577757409999472,6.577757409999473,4.1455767761650115,4.343783025242113,4.339813631971779,4.347202315198663,4.358138598316576,4.553354665041393,4.553354665041394,3.1542720857987043,3.278469115506926,3.3736048582156912,3.37869155090824,3.2260864312537225,3.184613053464336,3.1846130534643358,4.1455767761650115,4.343783025242113,4.339813631971779,4.347202315198664,4.358138598316577,4.553354665041395,4.553354665041394,2.564942260762146,2.600531404694442,2.672454684058953,2.628061803840812,2.5652956545495633,2.5579905596763317,2.5579905596763317,0.9062785643769,1.161047608654047,1,7,7,12.663958258118154,13.533344788629277,0.7599530129603812,4.314041867846168,137860.03626909092,(export),(export),Handling operations/Machine tending,Material handling,124775
0,110,2017,368259,425406,506181,346746.98017334944,237080.51478867995,48573.4,242867,272066,304794,351191,238142.42708876592,175602.8846174383,37210.4,186052,1077274,1256510,1508513,1045864.3377327428,678717.2447042586,135589.8,677949,655975,739959,859524,578481.1275793778,415829.7551133102,87190.4,435952,5.4392158196652955,5.841000621899867,6.0476569214682945,5.778735109151709,5.226177771154322,4.75694276278616,4.75694276278616,4.379726175501336,4.282749643484894,4.187295954577714,4.303532373908459,4.276148720415762,4.259385725600634,4.259385725600634,2.9253161497750226,2.9536724916902912,2.980184953603553,3.0162175809285583,2.8628132738332734,2.791441406201748,2.791441406201748,4.379726175501336,4.282749643484894,4.187295954577714,4.3035323739084586,4.276148720415763,4.259385725600633,4.259385725600634,2.411087750766358,2.427734797929093,2.4474545190508867,2.4291392955517037,2.3680120974050105,2.343172876400146,2.3431728764001463,0.8778513946714701,1.10116670716761,1,8,8,13.134051554224802,13.927050587795286,0.6396313405151359,4.617773246244486,194955.79480097035,(export),(export),Handling operations/Machine tending,Material handling,124775
0,160,1982,9073,9073,9073,8169.3743,7529.65754608,1814.6,9073,885,885,885,839.3997,806.33788752,177,885,85250.065,85250.065,85250.065,76709.61279829999,70663.99203905008,17050.013,85250.065,9410.118,9410.118,9410.118,8788.591655,8340.5337325296,1882.0236,9410.118,3.8392045073215373,3.8392045073215373,3.8392045073215373,3.9834029251458922,4.106408709175012,3.8392045073215373,3.8392045073215373,9.262328651685392,9.262328651685392,9.262328651685392,9.266201433126383,9.269744928336326,9.262328651685394,9.262328651685392,9.396017304089055,9.396017304089055,9.396017304089055,9.389900619231021,9.384755097638978,9.396017304089055,9.396017304089055,9.262328651685394,9.262328651685394,9.262328651685394,9.266201433126383,9.269744928336324,9.262328651685394,9.262328651685394,10.632901694915255,10.632901694915255,10.632901694915255,10.47009148919162,10.343720494372437,10.632901694915255,10.632901694915255,NA,NA,15,1,9,7.83361339563344,9.473930735134953,0.7785229767279591,12.069030182743502,688.9928344042438,(export),(export),Welding and soldering,Welding,124775
0,160,1987,41040,41040,41040,31540.313730407004,25960.3641346234,6393.4,31967,8031,8031,8031,6530.881228853001,5566.6045581453845,1429.2,7146,330935.815,330935.815,330935.815,249963.88457916817,203266.68986443372,49137.15,245685.75,66439.994,66439.994,66439.994,52842.90205646095,44278.5954984201,11405.9752,57029.876000000004,5.355519696957627,5.355519696957627,5.355519696957627,5.623550924157143,5.80195431105235,6.047538287060134,6.047538287060133,8.012839558908176,8.012839558908176,8.012839558908176,7.881865472575549,7.795918833395932,7.60065565448612,7.60065565448612,8.063738182261208,8.063738182261208,8.063738182261208,7.925218712653007,7.829885929578948,7.685605468139019,7.685605468139018,8.012839558908176,8.012839558908176,8.012839558908176,7.881865472575548,7.795918833395933,7.600655654486121,7.600655654486121,8.272941601294983,8.272941601294983,8.272941601294983,8.091236114202248,7.954327460467629,7.980671144696334,7.980671144696334,2.5350117999826445,3.149860237433766,15,2,10,9.967558044010179,11.495917024177746,0.8405622333670203,9.593267294392328,6750.55529617054,(export),(export),Welding and soldering,Welding,124775
