データコード,PR03'PRIO05_8A0030001,PR03'PRIO05_8A0030003,PR03'PRIO05_8A0030004,PR03'PRIO05_8A0030006,PR03'PRIO05_8A0030007,PR03'PRIO05_8A0030008,PR03'PRIO05_8A0030009,PR03'PRIO05_8A0030010,PR03'PRIO05_8A0030014,PR03'PRIO05_8A0030015,PR03'PRIO05_8F0030001
系列名称,"産出(大部門/内訳大分類)/飲食料品","産出(大部門/内訳大分類)/パルプ・紙・木製品","産出(大部門/内訳大分類)/化学製品","産出(大部門/内訳大分類)/窯業・土石製品","産出(大部門/内訳大分類)/鉄鋼","産出(大部門/内訳大分類)/非鉄金属","産出(大部門/内訳大分類)/金属製品","産出(大部門/内訳大分類)/一般機械","産出(大部門/内訳大分類)/輸送機械","産出(大部門/内訳大分類)/精密機械","産出(大部門/内訳大分類)/(参考)電気機械、情報・通信機器、電子部品"
1991,96.6416666666667,103.641666666667,100.808333333333,108.833333333333,88.6333333333333,92.925,105.133333333333,106.541666666667,112.891666666667,112.075,188.516666666667
1992,98.1,103.083333333333,96.5666666666667,108.675,86.2,86.7416666666667,104.75,106.691666666667,113.608333333333,112.6,183.216666666667
1993,97.7833333333333,104.583333333333,93.2416666666667,107.433333333333,82.3666666666667,79.25,103.116666666667,105.975,111.291666666667,111.833333333333,176.033333333333
1994,97.625,102.675,90.8083333333333,105.541666666667,78.2,79.45,101.375,105.033333333333,109.041666666667,109.525,169.966666666667
1995,96.4083333333333,104.025,91.7083333333333,104.791666666667,77.8333333333333,82.925,100.891666666667,104.208333333333,107.1,107.416666666667,163.066666666667
1996,97.3833333333333,104.35,90.65,103.883333333333,76.35,82.3166666666666,99.75,104.416666666667,107.383333333333,108.283333333333,155.533333333333
1997,99.1,104.933333333333,92.4083333333333,105.066666666667,78.6,86.9333333333333,100.616666666667,105.933333333333,108.291666666667,109.541666666667,150.475
1998,99.8,101.816666666667,91.15,104.208333333333,76.9416666666666,84.4,100.208333333333,106.05,109.233333333333,110.075,147.125
1999,100.4,100.366666666667,89.3333333333333,102.533333333333,73.0416666666667,78.1666666666667,98.6,103.7,105.783333333333,106.608333333333,139.55
2000,100.5,101.083333333333,91.7666666666667,101.391666666667,73.05,79.45,97.8916666666667,102.4,102.966666666667,104.516666666667,133.866666666667
2001,99.9083333333333,100.041666666667,91.5083333333333,100.658333333333,71.8916666666667,80.475,97.1083333333333,102.533333333333,103.141666666667,105.475,126.416666666667
2002,99.225,98.3333333333333,89.5333333333333,98.9416666666667,72.6166666666667,81.7833333333333,96.4583333333333,101.675,102.816666666667,104.65,117.783333333333
2003,98.9916666666667,99.4583333333334,90.6416666666667,98.0166666666667,76.0833333333333,82.125,96.0416666666667,100.166666666667,101.691666666667,102.7,109.133333333333
2004,100.191666666667,100.458333333333,94.1,98.3416666666667,87.8666666666667,90.9916666666667,97.5583333333333,99.5083333333333,100.216666666667,100.775,103.916666666667
2005,100.008333333333,100.008333333333,100.008333333333,100,100,100,100.008333333333,99.9916666666667,99.9833333333333,99.9916666666667,100.008333333333
2006,99.9916666666667,101.525,104.158333333333,101.575,103.666666666667,138.458333333333,101.541666666667,101.1,101.041666666667,100.016666666667,97
2007,101.316666666667,106.016666666667,109.283333333333,102.725,113.733333333333,152.683333333333,104.041666666667,102.475,101.65,99.85,93.9666666666667
2008,106.083333333333,110.241666666667,113.125,106.3,136.333333333333,146.941666666667,108.466666666667,102.5,100.566666666667,97.875,88.4083333333334
2009,105.491666666667,110.866666666667,99.275,109.816666666667,117.533333333333,118.725,107.225,101.475,101.191666666667,96.6916666666667,82.9
2010,104.658333333333,109.533333333333,102.025,109.625,117.85,136.683333333333,106.216666666667,100.025,98.5416666666667,95.1083333333333,78.5916666666667
2011,107.425,109.616666666667,104.641666666667,108.183333333333,127.275,149.316666666667,106.875,99.4833333333333,97.5333333333333,93.0083333333333,74.5416666666667
2012,108.108333333333,110.125,103.716666666667,108.308333333333,118.6,141.95,106.591666666667,100.575,96.5,92.125,71.475
2013,109.575,110.908333333333,109.041666666667,109.475,117.675,150.95,106.391666666667,101.966666666667,98.9,95.475,72.3
2014,109.5,112.725,110.491666666667,110.183333333333,120.883333333333,151.783333333333,106.666666666667,103.35,100.175,96.7333333333333,71.7166666666667
2015,110.208333333333,113.25,102.225,111.4,115.558333333333,151.383333333333,106.241666666667,104.558333333333,102.175,98.5,72.025
2016,110.55,113.625,96.3,110.975,108.55,136.15,105.125,103.9,100.55,97.575,70.075
2017,,,,,,,,,,,
