code_union,code_union_app,variable,value,year
7-3,900,quantity,6,1978
7-3,900,sales.m,23.081,1978
7-8,110,quantity,21,1978
7-8,110,sales.m,98.4,1978
7-8,160,quantity,8,1978
7-8,160,sales.m,173.9,1978
7-8,170,quantity,0,1978
7-8,170,sales.m,4,1978
7-8,190,quantity,7,1978
7-8,190,sales.m,39.751,1978
7-8,200,quantity,1,1978
7-8,200,sales.m,0.32,1978
7-8,900,quantity,0,1978
7-8,900,sales.m,0,1978
8,110,quantity,7,1978
8,110,sales.m,9.85,1978
8,160,quantity,0,1978
8,160,sales.m,0,1978
8,170,quantity,0,1978
8,170,sales.m,0,1978
8,190,quantity,0,1978
8,190,sales.m,0,1978
8,200,quantity,0,1978
8,200,sales.m,0,1978
8,900,quantity,7,1978
8,900,sales.m,102.37,1978
export,110,quantity,8,1978
export,110,sales.m,37.2,1978
export,160,quantity,27,1978
export,160,sales.m,419.41,1978
export,170,quantity,2,1978
export,170,sales.m,29,1978
export,190,quantity,26,1978
export,190,sales.m,137.73,1978
export,200,quantity,238,1978
export,200,sales.m,125.528,1978
export,900,quantity,0,1978
export,900,sales.m,2.247,1978
1,110,quantity,45,1979
1,110,sales.m,1389.987,1979
1,160,quantity,3,1979
1,160,sales.m,109,1979
1,170,quantity,0,1979
1,170,sales.m,0,1979
1,190,quantity,0,1979
1,190,sales.m,0,1979
1,200,quantity,0,1979
1,200,sales.m,0,1979
1,900,quantity,10,1979
1,900,sales.m,115.116,1979
11,110,quantity,3,1979
11,110,sales.m,15,1979
11,160,quantity,0,1979
11,160,sales.m,0,1979
11,170,quantity,0,1979
11,170,sales.m,0,1979
11,190,quantity,0,1979
11,190,sales.m,0,1979
11,200,quantity,0,1979
11,200,sales.m,0,1979
11,900,quantity,0,1979
11,900,sales.m,0,1979
12,110,quantity,3,1979
12,110,sales.m,34.5,1979
12,160,quantity,44,1979
12,160,sales.m,26.61,1979
12,170,quantity,0,1979
12,170,sales.m,0,1979
12,190,quantity,0,1979
12,190,sales.m,0,1979
12,200,quantity,0,1979
12,200,sales.m,0,1979
